Title,Published_date,Views,Likes,Comments
It's a Normal Smartwatch Until...,2023-03-20T18:03:22Z,160710,19267,346
Desk Tour & Daily Tech Update 2023!,2023-03-16T19:45:29Z,1643246,67821,2274
What is Happening with Samsung's Camera?,2023-03-13T19:26:48Z,2645555,143144,6904
The Yellow iPhone 14: Love it or Hate it?,2023-03-09T17:43:16Z,1912716,131903,2270
This Feature is Underrated!,2023-03-05T16:20:33Z,2245846,164597,1571
I Said Yes to Every Email for a Month!,2023-03-03T21:17:26Z,3468791,176887,7491
A Rare iPhone Environmental W,2023-02-27T21:29:39Z,5426608,287609,6770
Concept Phones: It's Time to Stop!,2023-02-27T12:18:11Z,1757111,77062,2877
The New Best Folding Phone!,2023-02-24T20:58:01Z,4213617,218747,1755
They Didn't Have To Go This Hard!,2023-02-21T20:07:58Z,3019590,261567,3708
The Biggest Problem with AI!,2023-02-18T01:09:30Z,2403671,131801,6364
The Galaxy S23 Ultra is Better Than You Think!,2023-02-11T00:01:15Z,3911892,149525,9343
OnePlus 11 Review: They're Back?!,2023-02-07T15:15:15Z,3122313,112636,7416
Galaxy S23 Ultra vs the MOON,2023-02-07T03:19:21Z,3819616,264200,4263
AI-Generated Music is Wild!,2023-02-05T01:38:57Z,1647524,91777,1755
How Apple is Taking Back the iPhone,2023-02-03T20:08:12Z,5136868,166396,4561
The Secret F150 Lightning Feature...,2023-02-02T15:26:20Z,544025,25464,275
Galaxy S23 / Ultra Impressions: Cruise Control!,2023-02-01T18:00:30Z,3723665,123599,6495
Apple HomePod 2 Review: I'm Confused,2023-01-31T14:03:11Z,3106539,108303,5323
The #1 Most Overpriced Tech in 2023!,2023-01-25T15:10:58Z,5354087,282987,4737
M2 Pro Mac Mini Review: Game Changer!,2023-01-24T23:19:09Z,3248922,110885,4548
M2 Max MacBook Pro Review: Back to Bumps!,2023-01-23T14:01:39Z,3914199,145772,5788
4 Ways AI Can Save Microsoft!,2023-01-20T19:51:58Z,1578935,99655,1297
This Phone is $169 - What's the Catch?,2023-01-12T16:00:58Z,2827533,106535,7854
Is Apple Giving Magsafe to Android?,2023-01-11T22:34:39Z,1624779,95093,1442
Stop Reading Megapixel Counts!,2023-01-06T22:53:28Z,1570918,113208,1668
What is Happening with iPhone Camera?,2023-01-05T22:22:55Z,5260870,196548,9184
Smartphone Awards 2022!,2022-12-27T22:00:10Z,4765495,205384,11668
The Voice Assistant Battle! (2023),2022-12-24T21:50:39Z,2475378,122368,6204
100X Zoom in Phones Leveled Up This Year!,2022-12-23T19:27:43Z,2825907,184093,1317
The Best Smartphone Camera 2022!,2022-12-21T23:05:51Z,3367849,188794,10410
Tesla Self Driving vs Everyday Roads!,2022-12-14T23:08:36Z,3817600,145846,11662
3 iPhone Super Useful Hidden Features!,2022-12-13T15:13:43Z,2531194,172761,1107
"The Truth About AI Getting ""Creative""",2022-12-09T21:17:58Z,2876668,124991,8665
When Apple Gets It Wrong,2022-12-05T23:06:44Z,6545422,448219,4954
My Tech Hot Takes!,2022-12-04T17:39:41Z,2598983,130462,8701
Remember the Cybertruck?,2022-11-21T23:08:55Z,3473383,166609,4921
"iPad Pro M2: What Does ""Pro"" Even Mean?",2022-11-18T21:48:49Z,2596439,96429,4057
Google Hits Back at iMessage!,2022-11-14T20:30:01Z,8429317,564154,9950
Lucid Air: How to One-up Tesla!,2022-11-11T19:27:05Z,4806848,147265,7845
Dear Twitter!,2022-11-08T02:29:45Z,4588641,195109,13190
The iPhone USB-C Law: Explained!,2022-11-02T17:58:32Z,6075982,206523,17150
Who Cares About the Metaverse?,2022-10-28T19:48:08Z,8522455,253629,22579
